Training Started
Epoch: 1, Training Loss: 0.5998, Validation Loss: 0.5796, Training Accuracy: 0.7328, Validation Accuracy: 0.7326
Epoch: 2, Training Loss: 0.5796, Validation Loss: 0.5765, Training Accuracy: 0.7351, Validation Accuracy: 0.7326
Epoch: 3, Training Loss: 0.5363, Validation Loss: 0.5675, Training Accuracy: 0.7457, Validation Accuracy: 0.7326
Epoch: 4, Training Loss: 0.4458, Validation Loss: 0.8851, Training Accuracy: 0.7976, Validation Accuracy: 0.7569
Epoch: 5, Training Loss: 0.4048, Validation Loss: 0.4384, Training Accuracy: 0.8213, Validation Accuracy: 0.8090
Epoch: 6, Training Loss: 0.3651, Validation Loss: 0.7024, Training Accuracy: 0.8362, Validation Accuracy: 0.7465
Epoch: 7, Training Loss: 0.2984, Validation Loss: 0.9090, Training Accuracy: 0.8864, Validation Accuracy: 0.7778
Epoch: 8, Training Loss: 0.2878, Validation Loss: 0.5625, Training Accuracy: 0.8789, Validation Accuracy: 0.8021
Epoch: 9, Training Loss: 0.2738, Validation Loss: 0.4533, Training Accuracy: 0.8873, Validation Accuracy: 0.7986
Epoch: 10, Training Loss: 0.2632, Validation Loss: 0.8951, Training Accuracy: 0.8912, Validation Accuracy: 0.7639
Epoch: 11, Training Loss: 0.2440, Validation Loss: 0.6764, Training Accuracy: 0.8996, Validation Accuracy: 0.7812
Epoch: 12, Training Loss: 0.2466, Validation Loss: 0.6885, Training Accuracy: 0.9032, Validation Accuracy: 0.7882
Epoch: 13, Training Loss: 0.2235, Validation Loss: 0.5912, Training Accuracy: 0.9116, Validation Accuracy: 0.8125
Epoch: 14, Training Loss: 0.2407, Validation Loss: 0.5319, Training Accuracy: 0.9056, Validation Accuracy: 0.8160
Epoch: 15, Training Loss: 0.2098, Validation Loss: 0.6600, Training Accuracy: 0.9187, Validation Accuracy: 0.8090
Epoch: 16, Training Loss: 0.2107, Validation Loss: 0.5665, Training Accuracy: 0.9207, Validation Accuracy: 0.7708
Epoch: 17, Training Loss: 0.2130, Validation Loss: 0.4795, Training Accuracy: 0.9144, Validation Accuracy: 0.8299
Epoch: 18, Training Loss: 0.2166, Validation Loss: 0.5791, Training Accuracy: 0.9175, Validation Accuracy: 0.8056
Epoch: 19, Training Loss: 0.2031, Validation Loss: 0.6556, Training Accuracy: 0.9200, Validation Accuracy: 0.8160
Epoch: 20, Training Loss: 0.2064, Validation Loss: 0.5373, Training Accuracy: 0.9179, Validation Accuracy: 0.8021
Epoch: 21, Training Loss: 0.1926, Validation Loss: 0.5585, Training Accuracy: 0.9280, Validation Accuracy: 0.8056
Epoch: 22, Training Loss: 0.1945, Validation Loss: 0.4266, Training Accuracy: 0.9248, Validation Accuracy: 0.8229
Epoch: 23, Training Loss: 0.1908, Validation Loss: 0.6585, Training Accuracy: 0.9276, Validation Accuracy: 0.7986
Epoch: 24, Training Loss: 0.1948, Validation Loss: 0.5154, Training Accuracy: 0.9192, Validation Accuracy: 0.8229
Epoch: 25, Training Loss: 0.1747, Validation Loss: 0.5589, Training Accuracy: 0.9334, Validation Accuracy: 0.7986
Epoch: 26, Training Loss: 0.1847, Validation Loss: 0.5279, Training Accuracy: 0.9265, Validation Accuracy: 0.8160
Epoch: 27, Training Loss: 0.1870, Validation Loss: 0.5786, Training Accuracy: 0.9291, Validation Accuracy: 0.8056
Epoch: 28, Training Loss: 0.1760, Validation Loss: 0.5894, Training Accuracy: 0.9334, Validation Accuracy: 0.8229
Epoch: 29, Training Loss: 0.1820, Validation Loss: 1.0389, Training Accuracy: 0.9323, Validation Accuracy: 0.7917
Epoch: 30, Training Loss: 0.1797, Validation Loss: 0.7221, Training Accuracy: 0.9336, Validation Accuracy: 0.7986
Epoch: 31, Training Loss: 0.1823, Validation Loss: 0.3929, Training Accuracy: 0.9323, Validation Accuracy: 0.8160
Epoch: 32, Training Loss: 0.1747, Validation Loss: 0.5076, Training Accuracy: 0.9351, Validation Accuracy: 0.8264
Epoch: 33, Training Loss: 0.1697, Validation Loss: 0.4974, Training Accuracy: 0.9336, Validation Accuracy: 0.8125
Epoch: 34, Training Loss: 0.1703, Validation Loss: 0.5203, Training Accuracy: 0.9338, Validation Accuracy: 0.8229
Epoch: 35, Training Loss: 0.1596, Validation Loss: 0.7195, Training Accuracy: 0.9414, Validation Accuracy: 0.8021
Epoch: 36, Training Loss: 0.1685, Validation Loss: 0.6454, Training Accuracy: 0.9381, Validation Accuracy: 0.8021
Epoch: 37, Training Loss: 0.1568, Validation Loss: 0.4614, Training Accuracy: 0.9418, Validation Accuracy: 0.8438
Epoch: 38, Training Loss: 0.1574, Validation Loss: 0.5573, Training Accuracy: 0.9390, Validation Accuracy: 0.8160
Epoch: 39, Training Loss: 0.1620, Validation Loss: 1.0073, Training Accuracy: 0.9431, Validation Accuracy: 0.7569
Epoch: 40, Training Loss: 0.1573, Validation Loss: 0.7346, Training Accuracy: 0.9425, Validation Accuracy: 0.7951
Epoch: 41, Training Loss: 0.1618, Validation Loss: 0.5853, Training Accuracy: 0.9397, Validation Accuracy: 0.7812
Epoch: 42, Training Loss: 0.1669, Validation Loss: 0.5755, Training Accuracy: 0.9369, Validation Accuracy: 0.8160
Epoch: 43, Training Loss: 0.1552, Validation Loss: 0.7169, Training Accuracy: 0.9405, Validation Accuracy: 0.8160
Epoch: 44, Training Loss: 0.1502, Validation Loss: 0.4289, Training Accuracy: 0.9433, Validation Accuracy: 0.8472
Epoch: 45, Training Loss: 0.1552, Validation Loss: 0.6141, Training Accuracy: 0.9427, Validation Accuracy: 0.8438
Epoch: 46, Training Loss: 0.1577, Validation Loss: 0.9593, Training Accuracy: 0.9403, Validation Accuracy: 0.7708
Epoch: 47, Training Loss: 0.1487, Validation Loss: 0.8875, Training Accuracy: 0.9401, Validation Accuracy: 0.7917
Epoch: 48, Training Loss: 0.1473, Validation Loss: 0.7745, Training Accuracy: 0.9450, Validation Accuracy: 0.8264
Epoch: 49, Training Loss: 0.1506, Validation Loss: 0.5212, Training Accuracy: 0.9440, Validation Accuracy: 0.8438
Epoch: 50, Training Loss: 0.1459, Validation Loss: 1.6086, Training Accuracy: 0.9440, Validation Accuracy: 0.7674
